DATE,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_STEPS,ACTIVITY_DISTANCE,ACTIVITY_SOFT,ACTIVITY_MODERATE,ACTIVITY_INTENSE,ACTIVITY_HR_AVERAGE,ACTIVITY_HR_MIN,ACTIVITY_HR_MAX,SLEEP_TOTALSLEEPTIME,SLEEP_DURATIONTOSLEEP,SLEEP_HR_AVERAGE,SLEEP_HR_MIN,SLEEP_HR_MAX,SLEEP_WAKEUPCOUNT,SLEEP_WAKEUPDURATION,SLEEP_HRV_PROXY,STRESS_PROXY,PARTICIPANT_ID
2021-07-06,0.16666666666666666,0.5454545454545454,0.0,0.11817814990416625,0.11576992345790182,0.211196526025468,0.0784313725490196,0.0,0.5882352941176472,0.4999999999999999,0.43558282208588955,0.5652777777777778,0.0,0.18604651162790686,0.32727272727272727,0.18181818181818177,0.0,0.046875,0.24175824175824176,0.04285714285714286,2210
2021-07-07,0.3333333333333333,0.5454545454545454,0.0,0.27766569151619086,0.26536470058532197,0.4436359368581656,0.1372549019607843,0.0,0.661764705882353,0.24,0.49079754601226994,0.5652777777777778,0.0,0.18604651162790686,0.32727272727272727,0.18181818181818177,0.0,0.046875,0.24175824175824176,0.04285714285714286,2210
2021-07-08,0.5,0.5454545454545454,0.0,0.23817209724604055,0.2223660513282305,0.32744557244293176,0.1372549019607843,0.0,0.6323529411764706,0.42000000000000004,0.43558282208588955,0.40138888888888885,0.0,0.37209302325581395,0.07272727272727275,0.2727272727272728,0.16666666666666666,0.046875,0.4725274725274726,0.05714285714285715,2210
2021-07-09,0.6666666666666666,0.5454545454545454,0.0,0.11247856350247148,0.10327555155335433,0.5564227451440643,0.00980392156862745,0.0,0.6764705882352942,0.29999999999999993,0.5276073619631902,0.8277777777777778,0.0,0.4651162790697674,0.4,0.5194805194805195,0.0,0.015625,0.4835164835164836,0.014285714285714287,2210
2021-07-10,0.8333333333333333,0.5454545454545454,0.0,0.17885604761424392,0.16152633948671768,0.693679948359838,0.00980392156862745,0.0,0.7647058823529411,0.33999999999999997,0.8957055214723928,0.5902777777777778,0.0,0.4651162790697674,0.32727272727272727,0.32467532467532456,0.3333333333333333,0.109375,0.3626373626373627,0.12857142857142856,2210
2021-07-11,1.0,0.5454545454545454,0.0,0.056390598204378084,0.05132823052678973,0.33800833284431664,0.0,0.0,0.6470588235294117,0.26,0.7607361963190185,0.6236111111111111,0.0,0.34883720930232553,0.34545454545454546,0.1428571428571429,0.3333333333333333,0.109375,0.19780219780219785,0.12857142857142856,2210
2021-07-12,0.0,0.5454545454545454,0.0,0.4030061535357611,0.40077667717244486,0.27116953230444224,0.3676470588235294,0.0,0.7647058823529411,0.26,0.656441717791411,0.37777777777777777,0.0,0.44186046511627897,0.5272727272727272,0.38961038961038963,0.8333333333333333,0.46875,0.29670329670329676,0.5,2210
2021-07-13,0.16666666666666666,0.5454545454545454,0.0,0.03969534954100676,0.036301215668617735,0.2640690100346224,0.0,0.0,0.6764705882352942,0.68,0.39263803680981596,0.6972222222222222,0.0,0.4883720930232558,0.38181818181818183,0.5454545454545455,0.16666666666666666,0.3125,0.5164835164835165,0.3,2210
2021-07-14,0.3333333333333333,0.5454545454545454,0.0,0.18052052859880963,0.1610198108959928,0.49997065899888504,0.044117647058823525,0.0,0.7794117647058825,0.4600000000000001,0.638036809815951,0.46249999999999997,0.0,0.4883720930232558,0.5272727272727272,0.36363636363636365,0.0,0.15625,0.27472527472527475,0.14285714285714285,2210
2021-07-15,0.5,0.5454545454545454,0.0,0.285786341168163,0.2672219720846466,0.6126401032803239,0.16666666666666666,0.0,0.75,0.21999999999999997,0.43558282208588955,0.8472222222222222,0.0,0.5116279069767442,0.49090909090909085,0.4285714285714285,0.6666666666666666,0.421875,0.35164835164835173,0.44285714285714284,2210
2021-07-16,0.6666666666666666,0.5454545454545454,0.0,0.17300514475940684,0.15623592976136874,0.6549498268880934,0.0196078431372549,0.0,0.7205882352941178,0.31999999999999995,0.5644171779141105,0.6402777777777778,0.0,0.4651162790697674,0.5272727272727272,0.3116883116883117,0.3333333333333333,0.25,0.2307692307692308,0.2571428571428571,2210
2021-07-17,0.8333333333333333,0.5454545454545454,0.0,0.24689801271058204,0.22169067987393065,0.8626254327797664,0.034313725490196074,0.0,0.7647058823529411,0.68,0.4723926380368098,0.6027777777777777,0.0,0.4883720930232558,0.5818181818181817,0.23376623376623373,0.3333333333333333,0.109375,0.13186813186813187,0.12857142857142856,2210
